dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
17.770576917788787,tcp,dns,FIN,3,23,1445,6055,422.04594902556676,63.10254163965603,64,81.31418617892587,340.7317628466409,1,0,0.3333333333333333,0.043478260869565216,2.022735001732773,0.10049410609927716,0,0,0,0,0,0,0,481.6666666666667,263.2608695652174,0,0,3,1,23,3,23,23,0,0,0,3,23,0,Normal,0
3.0253729274184025,tcp,smtp,FIN,444,458,3241,1815,1671.198930280097,60.88567365879936,64,1071.2728902369056,599.9260400431915,2,1,0.0022522522522522522,0.002183406113537118,1.030420211495977,0.008119270290148875,0,0,0,0,0,0,0,7.29954954954955,3.962882096069869,0,0,444,1,458,444,458,458,0,0,0,444,458,0,Fuzzers,1
0.013545700993385479,tcp,http,FIN,962,918,738,428,86078.97077968657,68.90082597944885,64,54482.230219046905,31596.740560639668,1,2,0.0010395010395010396,0.0010893246187363835,1.3262386906312558,0.5340167165203529,0,0,0,0,0,0,0,0.7671517671517671,0.4662309368191721,0,0,962,1,918,962,918,918,0,0,0,962,918,0,Reconnaissance,1
12.311066509753832,tcp,smtp,FIN,38,36,22549,2582,2041.334110256749,67.84360642052631,64,1831.6041085583317,209.73000169841734,2,1,0.02631578947368421,0.027777777777777776,0.0423070360371052,0.2073623115740996,0,0,0,0,0,0,0,593.3947368421053,71.72222222222223,0,0,38,1,36,38,36,36,0,0,0,38,36,0,Shellcode,1
10.207904736351665,tcp,ftp,FIN,3,14,7320,3917,1100.813564607788,68.22717969248706,64,717.0913315768452,383.72223303094296,1,0,0.3333333333333333,0.07142857142857142,0.13336375848512402,0.050271338292387585,0,0,0,0,0,0,0,2440.0,279.7857142857143,0,0,3,1,14,3,14,14,0,0,0,3,14,0,Normal,0
19.64440167908562,tcp,dns,FIN,29,22,4170,1589,293.1624029115282,57.92324781626479,64,212.2742177706325,80.8881851408957,0,1,0.034482758620689655,0.045454545454545456,2.5427391678281888,0.49920543476243884,0,0,0,0,0,0,0,143.79310344827587,72.22727272727273,0,0,29,1,22,29,22,22,0,0,0,29,22,0,Normal,0
15.316097819157813,tcp,smtp,FIN,46,20,11465,1460,843.8833541421393,63.45552667340606,64,748.5588127844973,95.32454135764205,0,1,0.021739130434782608,0.05,0.29332702501952934,3.6226309544127,0,0,0,0,0,0,0,249.2391304347826,73.0,0,0,46,1,20,46,20,20,0,0,0,46,20,0,Exploits,1
12.647021530263656,tcp,http,FIN,18,24,3040,2817,463.1129935206094,64.02750074134957,64,240.37280182732673,222.7401916932827,2,1,0.05555555555555555,0.041666666666666664,0.271634177534821,0.3222683904810143,0,0,0,0,0,0,0,168.88888888888889,117.375,0,0,18,1,24,18,24,24,0,0,0,18,24,0,Normal,0
4.020105113725184,tcp,http,FIN,498,365,2981,726,922.1151922977833,64.8762298896216,64,741.5228994442115,180.5922928535718,2,1,0.002008032128514056,0.0027397260273972603,1.1445335088204414,1.807758302127438,0,0,0,0,0,0,0,5.985943775100401,1.989041095890411,0,0,498,1,365,498,365,365,0,0,0,498,365,0,Fuzzers,1
13.828940910989076,tcp,smtp,FIN,53,36,13153,4678,1289.3973670702949,67.29827411525672,64,951.1212814242381,338.27608564605686,2,1,0.018867924528301886,0.027777777777777776,1.1260949834087506,2.1228605370354576,0,0,0,0,0,0,0,248.16981132075472,129.94444444444446,0,0,53,1,36,53,36,36,0,0,0,53,36,0,Exploits,1
14.50017976027108,tcp,http,FIN,22,15,6868,4213,764.197422597528,61.29076211168324,64,473.64930046023125,290.5481221372968,1,0,0.045454545454545456,0.06666666666666667,0.6619415554724846,0.7548123079872615,0,0,0,0,0,0,0,312.1818181818182,280.8666666666667,0,0,22,1,15,22,15,15,0,0,0,22,15,0,Normal,0
2.5460053510853866,tcp,ftp,FIN,27,28,7529,3435,4306.35387130115,62.014531392214465,64,2957.1815301921165,1349.1723411090343,1,1,0.037037037037037035,0.03571428571428571,0.07759178580105605,2.4528801731577197,0,0,0,0,0,0,0,278.85185185185185,122.67857142857143,0,0,27,1,28,27,28,28,0,0,0,27,28,0,Normal,0
2.3768418547886148,tcp,http,FIN,26,16,4998,1124,2575.686719613267,68.44032272614476,64,2102.7903013111904,472.8964183020764,2,2,0.038461538461538464,0.0625,0.4884597178522076,1.997109357342345,0,0,0,0,0,0,0,192.23076923076923,70.25,0,0,26,1,16,26,16,16,0,0,0,26,16,0,Analysis,1
1.787039646192607,tcp,dns,FIN,741,789,1302,485,999.9778145981867,59.760084312611674,64,728.5792471219021,271.3985674762846,2,1,0.001349527665317139,0.0012674271229404308,0.12832731830974597,2.0426667069654667,0,0,0,0,0,0,0,1.757085020242915,0.614702154626109,0,0,741,1,789,741,789,789,0,0,0,741,789,0,Reconnaissance,1
